name,longitude,latitude,source,index
加油站,102.470254,25.542905,3,5778
加油站,103.315725,25.536859,3,5779
加油站,102.908522,24.658069,3,5780
雪山加油站,102.806391,26.136169,3,5782
市委机关加油站,102.721094,24.987763,3,5783
宜良县青青加油站,103.233209,25.021883,3,5784
大营加油站,102.53331,25.223321,3,5785
加油站,103.62305,24.988542,3,5786
强林石化加油站,102.740365,24.975365,3,5787
加油站,102.815415,24.990538,3,5788
加油站,102.360341,24.669879,3,5789
东南加油站,103.252781,24.881803,3,5790
加油站,102.755265,25.025676,3,5791
马龙农机加油站,103.397296,25.451627,3,5792
加油站,102.504276,25.22775,3,5793
加油站,103.610102,24.967661,3,5794
服务区－严家山加油站,102.770958,25.104101,3,5795
东山加油站,103.084542,25.223359,3,5796
城西加油站,102.469026,24.925394,3,5797
王家坝加油站,102.732558,24.706911,3,5798
滇池路加油站,102.681088,25.009484,3,5799
转龙农机加油站,102.85738,25.901616,3,5800
加油站,103.418651,24.49419,3,5801
岷山加油站,102.643041,25.043924,3,5802
牛拦江加油站,103.15368,25.280327,3,5803
昆明公司石兴加油站,102.734537,25.061784,3,5804
罗福加油站,102.451209,25.381647,3,5805
加油站,102.750323,25.029878,3,5807
加油站,102.25424,24.929588,3,5808
加油站,102.616581,24.996553,3,5809
加油站,102.767057,25.01026,3,5810
加油站,102.542151,24.840068,3,5811
宝峰加油站,102.568761,24.577085,3,5812
黄金城服务区－加油站,103.482036,25.393429,3,5813
通泉加油站,103.592804,25.432715,3,5814
金所加油站,103.189616,25.533482,3,5815
加油站,102.450044,26.128453,3,5816
草铺加油站,102.378128,24.934364,3,5817
惠兴加油站,102.709932,24.679463,3,5818
红石加油站,103.36014,24.663899,3,5819
阿子营加油站,102.782051,25.336858,3,5820
加油站,102.63906,25.137398,3,5821
功山停车区－加油站,103.270479,25.736821,3,5822
十里长街加油站,102.706804,24.998212,3,5823
加油站,102.768201,25.010816,3,5824
加油站,102.701666,24.979937,3,5825
加油站,103.178278,26.076172,3,5826
呈贡马郎加油站,102.946163,24.900489,3,5827
栗庙加油站,102.536934,24.702054,3,5828
兴新加油站,102.546869,24.419957,3,5829
加油站,103.266198,25.369749,3,5830
加油站,102.751838,24.711609,3,5831
可保加油站,103.070832,24.970391,3,5832
红瓦加油站,102.775722,25.04611,3,5833
嵩明弥良加油站,103.027484,25.32257,3,5835
加油站,103.248103,24.88592,3,5836
黄土坡加油站,103.101187,25.48069,3,5837
宜良加油站,103.193396,24.916365,3,5838
小石坝加油站,102.823477,24.985418,3,5839
加油站,102.720517,24.934096,3,5840
昆阳中心加油站,102.597938,24.662726,3,5841
鼎程加油站,102.734008,25.050609,3,5842
安丰营加油站,102.289279,24.967449,3,5843
服务区－加油站,102.260983,24.972535,3,5844
昆东加油站,102.929654,24.954111,3,5845
加油站,103.19777,24.917643,3,5846
城区加油站,103.254754,25.55402,3,5847
阳宗服务区加油站,102.982139,24.853265,3,5848
大德加油站,102.2156,25.213984,3,5850
龙潭加油站,103.250464,25.938628,3,5852
加油站,102.463084,24.926107,3,5853
双凤加油站,102.729615,24.983869,3,5855
北站加油站,102.720242,25.054887,3,5857
大营加油站,103.106164,25.41895,3,5859
石林顺达加油站,103.321291,24.837041,3,5860
加油站,102.46757,25.274223,3,5861
加油站,102.675936,25.256151,3,5862
服务区－加油站,102.682762,25.07571,3,5863
阳宗海加油站,103.054612,24.961564,3,5864
加油站,103.324671,24.842992,3,5865
神骏加油站,102.744701,25.032014,3,5866
服务区－加油站,102.580063,24.778342,3,5867
碧鸡加油站,102.596807,24.966939,3,5868
加油站,102.575821,24.549404,3,5869
嵩明加油站,103.039299,25.326268,3,5871
加油站,102.475275,25.529121,3,5872
柯渡农机站,102.848195,25.527645,3,5873
新和加油站,103.068748,25.225859,3,5874
加油站,102.461136,25.324046,3,5875
加油站,102.656046,25.055113,3,5876
民航加油二站,102.737512,24.998699,3,5877
东川营盘加油站,103.140729,26.161668,3,5878
加油站,102.89947,25.717182,3,5879
世博加油站,102.750729,25.077626,3,5880
福吉加油站,102.669401,25.09875,3,5881
加油站,102.58909,24.657,3,5883
茂山加油站,102.497961,25.664054,3,5884
加油站,103.259191,24.693956,3,5885
昆电加油站,102.625601,24.997278,3,5887
大渔村加油站,102.807346,24.825849,3,5888
石油农机服务站,102.805603,24.862632,3,5889
小洋村加油站,102.907105,24.649235,3,5890
储运公司梁王加油站,102.813686,24.78148,3,5891
兴琦源石化加油站,102.883907,25.292107,3,5892
加油站,103.519638,24.913407,3,5893
海口加油站,102.550531,24.798008,3,5894
太平加油站,102.584591,24.947134,3,5895
崇德加油站,102.501327,25.485529,3,5896
新世纪加油站,103.049988,25.347494,3,5897
龙庆加油站,102.611959,25.162864,3,5898
服务区－石虎关加油站,102.757052,25.014395,3,5899
加油站,102.578065,24.953834,3,5900
服务区－两面寺加油站,102.801973,25.037057,3,5901
加油站,102.422322,24.927702,3,5902
羊街东山加油站,103.148655,25.47244,3,5903
隆宇加油站,102.837107,24.977599,3,5904
石化服务区加油站,102.466427,25.284652,3,5905
加油站,102.425409,24.780684,3,5906
加油站,103.284042,24.748483,3,5907
陆良县公司小莫古加油站,103.5186,24.906477,3,5908
牛街庄加油站,102.778218,25.006364,3,5911
嵩明停车区－德发加油站,103.018597,25.30151,3,5912
易门六街加油站,102.233805,24.819715,3,5913
兴隆加油站,102.838045,25.014125,3,5914
加油站,103.2799,24.85695,3,5915
加油站,102.613413,24.781682,3,5916
加油站,102.659177,25.089312,3,5918
加油站,103.576727,25.435613,3,5919
加油站,103.258079,25.516702,3,5920
加油站,102.680053,24.671325,3,5921
加油站,102.666056,25.029535,3,5922
加油站,102.786695,25.636947,3,5925
广福A加油站,102.686891,24.986237,3,5926
