name,longitude,latitude,source,index
靖国新村,102.7141876,25.04393387,2,260
军安组团（人民西路132号）,102.6865432,25.0415728,2,261
俊发·逸天峰,102.73143,25.052855,2,262
俊发风华商业街,102.851692,24.894197,2,263
俊发观云海,102.773239,24.928733,2,265
俊发九夏云水,102.679276,25.001131,2,268
俊发蓝湖俊园,102.844881,24.921481,2,269
俊发澜湾俊园,102.6710791,24.98460444,2,271
俊发生态半岛滇池俊府,102.744307,24.931191,2,272
俊发生态半岛海东俊园,102.738857,24.926821,2,274
俊发盛唐城,102.7447639,25.0833258,2,276
俊发盛唐城一期,102.7524469,25.07866278,2,277
俊发时代俊园,102.82022,24.857445,2,278
俊发湾流海A3地块（琥珀俊园）,102.7601566,24.95824961,2,282
俊发新螺蛳湾澜湾俊园,102.785656,24.946134,2,283
骏信国际汽配城,102.798191,24.970025,2,286
凯旋花园,102.6921041,25.00593329,2,288
凯旋利车博汇公寓,102.7278893,24.98174071,2,289
凯茵佳园,102.7549515,25.06600189,2,290
康宏小区（宏达小区）,102.6775943,25.06107757,2,291
孔雀镇,102.845973,24.875087,2,292
昆明呈贡吾悦广场,102.82529,24.888288,2,294
昆明广场,102.730217,25.074888,2,296
昆明环球时代,102.676342,25.054739,2,298
昆明西山万达广场,102.712074,25.008227,2,299
昆明新城吾悦广场,102.665955,25.095329,2,300
昆明玉器城,102.7556963,25.17229972,2,301
昆明制药厂生活区,102.6464691,25.03600502,2,302
兰亭广场,102.6531382,25.05262013,2,303
蓝光花田国际度假区,102.8077771,24.82765993,2,304
蓝光林肯公园,102.763185,25.104541,2,306
蓝光水岸公园,102.731997,24.982349,2,307
蓝光天娇城,102.828302,24.82954,2,308
蓝色经典现代洋房,102.737128,25.06450039,2,310
澜山悦,102.5923139,24.95492479,2,311
理想小镇,102.7153145,25.00291955,2,312
丽阳星城一期,102.666212,25.07491051,2,313
良晨水逸二期,102.7165673,24.97956085,2,314
梁源小区三期,102.6619246,25.04865683,2,316
列侬溪谷,102.6667752,24.99430407,2,317
林肯公园A2地块,102.7559359,25.0942813,2,318
林业勘察设计院宿舍,102.7453003,25.05747795,2,319
霖岚国际广场,102.737375,25.060269,2,320
菱角塘搬迁组团,102.6900057,25.05556244,2,321
领秀知识城,102.99898,25.241581,2,322
刘家营西区,102.7000281,25.03419499,2,323
柳苑小区南区,102.6852139,25.02071683,2,324
龙斗壹号海岸城,102.80853,24.885449,2,325
龙湖水晶郦城,102.7030073,25.07859164,2,329
龙华花园,102.743375,25.01286814,2,330
龙腾世家,102.716011,25.078871,2,331
龙苑盛景,102.7250997,25.10290103,2,332
隆居花园,102.6816541,25.013886,2,333
路建大楼,102.745511,25.145865,2,334
螺蛳湾国际商贸城,102.775596,24.941489,2,335
螺蛳湾中心,102.719984,25.028095,2,336
骆驼湾,102.755344,25.139922,2,337
绿城·春江明月,102.745026,25.108875,2,338
绿地iHome（绿地云都会）,102.6685529,25.09388564,2,340
绿地大城天地,102.708995,25.019071,2,341
绿地滇池国际健康城,102.796376,24.829046,2,342
绿地海珀澜庭,102.687172,25.026282,2,344
绿地香树花城,102.66254,25.100458,2,345
绿地中央广场,102.66832,25.096058,2,346
绿洲花园,102.7358677,25.0304483,2,347
马街摩尔城,102.647267,25.037896,2,348
马可波罗半岛（彩云水榭）,102.6592869,24.97891828,2,349
玫瑰湾小区,102.7255317,24.98738942,2,350
美的顺城府,102.786199,25.054736,2,351
美璟欣城,102.7375715,25.10225095,2,352
美树橙,102.757581,25.0827818,2,353
魅力之城,102.7794082,24.95368027,2,354
米兰春天,102.752914,25.026344,2,355
民委西院,102.6955185,25.04587746,2,356
铭诚雅苑,102.76553,25.048515,2,357
铭惠中心,102.761399,24.934609,2,358
铭门高第,102.6951203,25.0211486,2,360
南天门,102.7311437,24.99679668,2,361
南亚风情第壹城星辰苑,102.6933145,25.01347096,2,362
南亚风情第壹城星光苑,102.6945991,25.01690229,2,363
南亚未来城（美术小区）,102.7590525,25.06440453,2,364
南苑小区地中海（水岸银沙）,102.6835303,25.0073776,2,365
南悦城,102.71776,24.985031,2,366
盘龙区检察院宿舍,102.7345963,25.07901192,2,368
七彩云南古滇名城,102.752028,24.775004,2,369
浅水湾,102.728742,25.00698996,2,371
清水佳湖雅居,102.769229,25.100981,2,372
秋苑小区,102.6605747,25.04513319,2,373
人民路壹号广场,102.689065,25.052115,2,374
日新粤寓,102.724646,25.000178,2,375
融城春晓,102.75319,25.021437,2,377
融城金阶,102.753748,25.015705,2,378
融城昆明湖,102.7585061,25.12254258,2,379
融城优郡,102.70115,25.02792,2,380
融创春风十里,102.66763,25.084679,2,381
融创孔雀镇,102.840408,24.866673,2,383
融创澜玥台,102.731201,24.980926,2,385
瑞鼎城,102.7504725,25.05810431,2,387
瑞鼎城天玺,102.74742,25.06023,2,388
润城,102.70308,25.005948,2,389
山海荟,102.698654,24.948276,2,391
山海湾,102.70558,24.946343,2,393
山水白沙,102.7746887,25.05769041,2,395
山水云亭,106.14008,34.7425273,2,396
上海东盟商务大厦,102.823755,24.882518,2,397
上游水岸一期,102.7335641,25.08840903,2,399
尚源郦城,101.5929516,24.8642128,2,400
省委党校生活区,102.6841507,25.05699921,2,401
盛高大城二期,102.6992944,25.01591736,2,402
盛高大城一期,102.6941706,25.01782088,2,403
师大西苑（建设路54号）,102.7007347,25.06146377,2,404
十二棵橡树庄园,102.7213757,25.028117,2,405
时代风华一期,102.7189301,24.99403927,2,406
时代俊园,102.826423,24.824441,2,407
实地花鹤翎,102.7024413,25.10215808,2,409
实力玖如堂,102.710157,25.079598,2,410
实力郡城,102.7452153,25.12493268,2,411
实力山语间,102.770758,25.040358,2,412
实力心城,102.830595,24.887261,2,414
实力壹方城,102.71463,25.084081,2,416
世博生态城低碳中心,102.762651,25.087977,2,417
世博生态城临山邻里,102.7597423,25.07515543,2,418
世博生态城鸣凤邻里,102.76537,25.086038,2,419
世博首岸,102.75071,25.068306,2,420
世豪·香颂时光,102.79113,25.005835,2,421
世豪香颂时光,102.784558,25.000114,2,422
世纪城叠春苑,102.7633027,24.9692297,2,424
世纪城沁春苑,102.7618825,24.97833764,2,425
书香大地,102.8500543,24.85005631,2,426
书香门第,102.742439,25.11662095,2,428
书香水岸,102.7699759,25.09309254,2,429
曙光小区,102.7470929,25.03897154,2,430
双城际商务中心,102.784667,24.951334,2,431
双铁韵城,102.838739,24.874649,2,433
水晶花园,102.7438202,25.09293365,2,435
泰旸欣城,102.7203772,25.08419501,2,436
腾龙苑,102.6745115,25.06483416,2,437
天地之间·广福郡,102.70682,24.985792,2,438
天骄北麓,102.735768,25.119492,2,440
天骄北麓南区,102.7370755,25.11609612,2,441
天怡峰景,102.7488493,25.094872,2,442
天宇·葡萄街区,102.722534,25.068695,2,443
听涛雅苑一期,102.657534,24.98682022,2,444
同德极少墅,102.6740516,24.98673648,2,445
同德锦江嘉园,102.7229056,24.99567504,2,446
万彩城,102.719302,25.081114,2,449
万彩城小区（万彩城二期）,102.7176133,25.07713425,2,450
万宏国际一期,102.7324508,25.06415856,2,451
万科城市之光,102.770426,25.052983,2,452
万科翡翠,102.73364,24.98325,2,453
万科翡翠滨江,102.70938,24.965815,2,454
万科公园里,102.787476,24.931723,2,455
万科金域水岸,102.7328425,25.07976935,2,456
万科魅力之城,102.7875179,24.95883039,2,457
万科学府,102.696577,25.069686,2,458
万科学府北区（二期）,102.7115311,25.06868525,2,459
万科银海泊岸,102.699441,24.962038,2,460
万科云子,102.665074,25.066435,2,461
万象名城（怡合景苑）,102.6682758,25.05203862,2,462
万兴花园,102.7469911,25.01925847,2,463
王大桥小区,102.768364,25.05376244,2,464
王家坝小区,102.6957397,25.03134537,2,465
未名城（紫光公寓）,102.7026104,25.00081241,2,466
五彩点金苑,102.7396405,25.00340169,2,467
五华金盾小区,102.6718674,25.0130558,2,468
西坝河小区,102.2767281,24.97330835,2,469
西仓坡,102.7199173,25.08600807,2,470
西房高新花园,102.6761526,25.07727801,2,471
西华小区夏蓉里,102.6942319,25.03295179,2,472
西华苑,102.6908576,25.02818682,2,473
西尚林居（学府公馆）,102.6953465,25.07789953,2,474
西西里和园（和园小区）,102.6638587,25.04243554,2,475
西翥园,102.6695023,25.0438633,2,476
希望汇,102.719625,24.98858,2,477
溪麓南郡,102.7848669,25.09703534,2,478
曦园,102.729805,25.118628,2,479
曦园（半山七哩溪）,102.7104278,25.12320013,2,480
夏意雅园,102.7162671,24.97846821,2,481
现代文庭,102.696205,25.065749,2,482
香榭丽园,102.7144578,25.00224419,2,483
香樟俊园二期,102.7392011,25.03435991,2,484
协信天地,102.6990928,25.06589802,2,486
新城经开区项目,102.872113,24.966374,2,487
新城吾悦广场2号地块,102.6643393,25.09022527,2,490
新时代广场,102.742429,25.114403,2,491
新闻路56号,102.7050602,25.04668008,2,492
新希望白麓城,102.658443,25.102502,2,493
新希望观澜汇,102.712971,24.981408,2,494
